医嘱,医嘱分类（0：肠内营养；1：肠外营养；2：人血白蛋白注射液）
脂肪乳氨基酸17葡萄糖11%注射液[卡文]2△,1
脂肪乳氨基酸17葡萄糖11%注射液[卡文]2▲■,1
脂肪乳氨基酸17葡萄糖11%注射液[卡文]2▲,1
脂肪乳氨基酸17葡萄糖11%注射液[卡文]1▲■,1
脂肪乳氨基酸17葡萄糖11%注射液(卡文)2▲■,1
人血白蛋白,2
复方氨基酸注射液[9AA](石家庄四药)△■,1
复方氨基酸注射液[9AA](石家庄四药)▲,1
复方氨基酸注射液(20AA)△■,1
复方氨基酸注射液(20AA)▲■,1
复方氨基酸注射液(20AA)▲,1
复方氨基酸注射液(18AA-Ⅶ)▲■,1
复方氨基酸注射液(18AA-Ⅶ)(捷苏)▲■,1
复方氨基酸注射液(9AA)(石家庄四药)△■,1
复方氨基酸注射液(9AA)(石家庄四药)▲,1
复方氨基酸注射液(3AA)▲,1
复方氨基酸注射液(3AA)(山东齐都)●,1
复方氨基酸(15)双肽(2)注射液[漠宜林]△,1
复方氨基酸(15)双肽(2)注射液[漠宜林]▲■,1
复方氨基酸(15)双肽(2)注射液(漠宜林)△,1
复方氨基酸(15)双肽(2)注射液(漠宜林)▲■,1
肠内营养乳剂(TPF-T)[瑞能]△■,0
肠内营养乳剂(TPF-T)[瑞能]▲■,0
肠内营养乳剂(TPF-T)(瑞能)△■,0
肠内营养乳剂(TPF-T)(瑞能)▲■,0
肠内营养乳剂(TP)[瑞素](袋装)▲■,0
肠内营养混悬液TPF-D[伊力佳]△■,0
肠内营养混悬液TPF-D[伊力佳]▲■,0
肠内营养混悬液TPF-D(伊力佳)△■,0
肠内营养混悬液TPF-D(伊力佳)▲■,0
肠内营养混悬液(TPF-FOS)[佳维体]△■,0
肠内营养混悬液(TPF-FOS)[佳维体]▲■,0
肠内营养混悬液(TPF-FOS)(佳维体)▲■,0
肠内营养粉剂(TP)[安素粉]△■,0
肠内营养粉剂(TP)[安素粉]▲■50g + 200mL 水,0
肠内营养粉剂(TP)[安素粉]▲■,0
肠内营养粉剂(TP)[安素粉]54g+温开水200ml,0
肠内营养粉剂(TP)(安素粉)△■,0
肠内营养粉剂(TP)(安素粉)▲■,0
安素粉54g+匀浆粉25g+温开水300ml,0
安素粉54g+温开水250ml,0
安素粉54g+温开水200ml,0
安素粉54g+温开水200g,0
安素粉54g+200ml温开水,0
安素粉6勺+温开水,0
安素粉6勺+200ml温水,0
安素粉6勺+200ml温开水,0
安素粉6勺（55.8g）+温开水150ml,0
安素粉4勺+温开水,0
安素80g（9勺）+200ml水,0
安素10勺+水200ml,0
安素8勺+200ml温开水,0
安素4勺+150ml温开水,0
20%人血白蛋白注射液△■,2
20%人血白蛋白注射液▲■（自备）,2
20%人血白蛋白注射液▲■,2
11.4%复方氨基酸注射液(18-Ⅱ)[乐凡命]■,1
11.4%复方氨基酸注射液(18-Ⅱ)[乐凡命],1
11.4%复方氨基酸注射液(18-Ⅱ)(乐凡命)■,1
11.4%复方氨基酸注射液(18-Ⅱ)(乐凡命),1
11.4%18复方氨基酸注射液[乐凡命]■,1
11.4%18复方氨基酸注射液(乐凡命)■,1
8.5%复方氨基酸注射液(18AA-Ⅱ)▲■,1
8.5%18复方氨基酸注射液■,1
5%复方氨基酸注射液(18AA)(基)■,1
5.53%复方氨基酸注射液(9AA)▲,1
6勺安素+250ml温开水,0
4勺安素+150ml温开水,0
